cv_number,mod_date,pub_date,cvss,cwe_code,cwe_name,summary,base_score,base_severity
CVE-2024-33789,2024-05-06T12:44Z,2024-05-03T17:15Z,,,,,,
CVE-2024-33791,2024-05-06T12:44Z,2024-05-03T17:15Z,,,,,,
CVE-2024-33792,2024-05-07T05:15Z,2024-05-03T17:15Z,,,,,,
CVE-2024-33793,2024-05-07T06:15Z,2024-05-03T17:15Z,,,,,,
CVE-2024-3382,2024-04-10T19:49Z,2024-04-10T17:15Z,,,,,,
CVE-2024-33820,2024-05-01T19:50Z,2024-05-01T16:15Z,,,,,,
CVE-2024-33829,2024-05-06T16:00Z,2024-05-06T13:15Z,,,,,,
CVE-2024-3383,2024-04-10T19:49Z,2024-04-10T17:15Z,,,,,,
CVE-2024-33830,2024-05-06T16:00Z,2024-05-06T13:15Z,,,,,,
CVE-2024-33831,2024-04-30T19:35Z,2024-04-30T18:15Z,,,,,,
CVE-2024-33832,2024-04-30T19:35Z,2024-04-30T18:15Z,,,,,,
CVE-2024-33835,2024-05-01T13:01Z,2024-05-01T11:15Z,,,,,,
CVE-2024-3384,2024-04-10T19:49Z,2024-04-10T17:15Z,,,,,,
CVE-2024-33844,2024-05-03T19:15Z,2024-05-03T15:15Z,,,,,,
CVE-2024-3385,2024-04-10T19:49Z,2024-04-10T17:15Z,,,,,,
CVE-2024-33851,2024-04-29T12:42Z,2024-04-27T22:15Z,,,,,,
CVE-2024-33856,2024-05-07T20:07Z,2024-05-07T16:15Z,,,,,,
CVE-2024-33857,2024-05-07T20:07Z,2024-05-07T16:15Z,,,,,,
CVE-2024-33858,2024-05-07T20:07Z,2024-05-07T16:15Z,,,,,,
CVE-2024-33859,2024-05-07T20:07Z,2024-05-07T17:15Z,,,,,,
CVE-2024-3386,2024-04-10T19:49Z,2024-04-10T17:15Z,,,,,,
CVE-2024-33860,2024-05-07T20:07Z,2024-05-07T17:15Z,,,,,,
CVE-2024-3387,2024-04-10T19:49Z,2024-04-10T17:15Z,,,,,,
CVE-2024-3388,2024-04-10T19:49Z,2024-04-10T17:15Z,,,,,,
CVE-2024-33883,2024-04-29T12:42Z,2024-04-28T16:15Z,,,,,,
CVE-2024-33891,2024-04-29T12:42Z,2024-04-28T23:15Z,,,,,,
CVE-2024-33899,2024-04-29T12:42Z,2024-04-29T00:15Z,,,,,,
CVE-2024-33903,2024-04-29T12:42Z,2024-04-29T01:15Z,,,,,,
CVE-2024-33904,2024-04-29T12:42Z,2024-04-29T06:15Z,,,,,,
CVE-2024-33905,2024-05-01T18:15Z,2024-04-29T06:15Z,,,,,,
CVE-2024-33907,2024-05-07T13:39Z,2024-05-06T20:15Z,,,,,,
CVE-2024-33908,2024-05-07T13:39Z,2024-05-06T20:15Z,,,,,,
CVE-2024-33910,2024-05-06T19:53Z,2024-05-06T19:15Z,,,,,,
CVE-2024-33911,2024-05-02T13:27Z,2024-05-02T11:15Z,,,,,,
CVE-2024-33912,2024-05-06T19:53Z,2024-05-06T19:15Z,,,,,,
CVE-2024-33913,2024-05-02T13:27Z,2024-05-02T11:15Z,,,,,,
CVE-2024-33914,2024-05-03T12:48Z,2024-05-03T09:15Z,,,,,,
CVE-2024-33915,2024-05-03T12:48Z,2024-05-03T09:15Z,,,,,,
CVE-2024-33916,2024-05-03T12:48Z,2024-05-03T08:15Z,,,,,,
CVE-2024-33918,2024-05-03T12:48Z,2024-05-03T08:15Z,,,,,,
CVE-2024-33919,2024-05-03T12:48Z,2024-05-03T09:15Z,,,,,,
CVE-2024-33920,2024-05-03T12:48Z,2024-05-03T09:15Z,,,,,,
CVE-2024-33921,2024-05-03T12:48Z,2024-05-03T09:15Z,,,,,,
CVE-2024-33922,2024-05-02T13:27Z,2024-05-02T11:15Z,,,,,,
CVE-2024-33923,2024-05-03T12:48Z,2024-05-03T09:15Z,,,,,,
CVE-2024-33924,2024-05-03T12:48Z,2024-05-03T08:15Z,,,,,,
CVE-2024-33925,2024-05-03T12:48Z,2024-05-03T09:15Z,,,,,,
CVE-2024-33926,2024-05-03T12:48Z,2024-05-03T08:15Z,,,,,,
CVE-2024-33927,2024-05-03T12:48Z,2024-05-03T08:15Z,,,,,,
CVE-2024-33928,2024-05-03T12:48Z,2024-05-03T07:15Z,,,,,,
CVE-2024-33929,2024-05-03T12:48Z,2024-05-03T09:15Z,,,,,,
CVE-2024-33930,2024-05-02T13:27Z,2024-05-02T11:15Z,,,,,,
CVE-2024-33931,2024-05-03T12:48Z,2024-05-03T09:15Z,,,,,,
CVE-2024-33932,2024-05-03T12:48Z,2024-05-03T07:15Z,,,,,,
CVE-2024-33934,2024-05-03T12:48Z,2024-05-03T07:15Z,,,,,,
CVE-2024-33935,2024-05-03T12:48Z,2024-05-03T07:15Z,,,,,,
CVE-2024-33936,2024-05-03T12:48Z,2024-05-03T07:15Z,,,,,,
CVE-2024-33937,2024-05-03T12:48Z,2024-05-03T09:15Z,,,,,,
CVE-2024-33940,2024-05-03T12:48Z,2024-05-03T07:15Z,,,,,,
CVE-2024-33941,2024-05-03T12:48Z,2024-05-03T08:15Z,,,,,,
CVE-2024-33943,2024-05-03T12:48Z,2024-05-03T07:15Z,,,,,,
CVE-2024-33944,2024-05-02T13:27Z,2024-05-02T13:15Z,,,,,,
CVE-2024-33945,2024-05-03T12:48Z,2024-05-03T07:15Z,,,,,,
CVE-2024-33946,2024-05-03T12:48Z,2024-05-03T07:15Z,,,,,,
CVE-2024-33947,2024-05-03T12:48Z,2024-05-03T07:15Z,,,,,,
CVE-2024-33948,2024-05-02T18:00Z,2024-05-02T17:15Z,,,,,,
CVE-2024-33949,2024-05-02T18:00Z,2024-05-02T17:15Z,,,,,,
CVE-2024-3400,2024-04-23T19:57Z,2024-04-12T08:15Z,,,,,10,CRITICAL
CVE-2024-34010,2024-04-30T13:11Z,2024-04-29T16:15Z,,,,,,
CVE-2024-34011,2024-04-30T13:11Z,2024-04-29T16:15Z,,,,,,
CVE-2024-34020,2024-04-30T13:11Z,2024-04-29T16:15Z,,,,,,
CVE-2024-34031,2024-05-03T12:50Z,2024-05-03T01:15Z,,,,,,
CVE-2024-34032,2024-05-03T12:50Z,2024-05-03T01:15Z,,,,,,
CVE-2024-34033,2024-05-03T12:50Z,2024-05-03T01:15Z,,,,,,
CVE-2024-34043,2024-04-30T13:11Z,2024-04-30T00:15Z,,,,,,
CVE-2024-34044,2024-04-30T13:11Z,2024-04-30T00:15Z,,,,,,
CVE-2024-34045,2024-04-30T13:11Z,2024-04-30T00:15Z,,,,,,
CVE-2024-34046,2024-04-30T13:11Z,2024-04-30T00:15Z,,,,,,
CVE-2024-34047,2024-04-30T13:11Z,2024-04-30T00:15Z,,,,,,
CVE-2024-34048,2024-04-30T13:11Z,2024-04-30T00:15Z,,,,,,
CVE-2024-34049,2024-04-30T13:11Z,2024-04-30T00:15Z,,,,,,
